KATEGORI,JENIS,NOMOR PART,NAMA PART,SUPPLIER,STATUS,KETERANGAN,STD PACKING,UOM,JENIS PACKING
SUBPART,-,87563-K59-A100,"STICKER, COMBIE BRAKE","Afix Kogyo Indonesia, PT",DISCONTINUE,L1,100,PCS,PLASTIK
SUBPART,-,87586-MCA-G601,LABEL FUEL,"Afix Kogyo Indonesia, PT",AKTIF,L1,100,PCS,PLASTIK
SUBPART,-,81135-K2S -N800,RUBBER SEAL (6 X 6 X 310),"Armstrong Industri Indonesia, PT",AKTIF,L1,100,PCS,PLASTIK
SUBPART,-,81135-K2SA-N000-20,RUBBER SEAL,"Armstrong Industri Indonesia, PT",DISCONTINUE,L3,100,PCS,PLASTIK
SUBPART,-,81291-K1AL-N802,"SEAL,INNER POCKET","Armstrong Industri Indonesia, PT",AKTIF,L1,100,PCS,PLASTIK
SUBPART,-,81291-K1A-N100,SEAL INNER POCKET,"Armstrong Industri Indonesia, PT",AKTIF,L2,100,PCS,PLASTIK
SUBPART,-,95002-50000,CLIP C9 TUBE,"Asianet Spring Indonesia, PT",AKTIF,L1,1000,PCS,PLASTIK
SUBPART,-,17527-K35-V000,RUBBER FUEL SEAL,"Caturindo Agung Jaya Rubber, PT",AKTIF,L1,100,PCS,PLASTIK
SUBPART,-,50352-GS6 -0002,RUBBER LINK STOPPER,"Caturindo Agung Jaya Rubber, PT",AKTIF,L1,50,PCS,PLASTIK
SUBPART,-,50352-K84-9000,RUBBER STOPPER,"Caturindo Agung Jaya Rubber, PT",DISCONTINUE,L1,50,PCS,PLASTIK
SUBPART,-,95003-14030-20,"TUBE, VINYL 6X9X300","Caturindo Agung Jaya Rubber, PT",AKTIF,L1,50,PCS,PLASTIK
SUBPART,-,90-AD01SYN1,Wire Harness Assy,"Dharma Electrindo Manufacturing, PT",AKTIF,L1,100,PCS,POLYBOX
SUBPART,-,91-AD09SYN1,Wire AD09,"Dharma Electrindo Manufacturing, PT",AKTIF,L1,100,PCS,POLYBOX
SUBPART,-,92-AD05SYN,Wire Harness AD05,"Dharma Electrindo Manufacturing, PT",AKTIF,L1,100,PCS,POLYBOX
