Perusahaan,Part,Kode Mold,Nomor Mold,Cavity,Capacity,Lokasi Mold,Tipe Mold
"Astra Honda Motor, PT",1141A-K1Z -N200-DL,A1,-,1,-,-,-
"Astra Honda Motor, PT",19120-K2S -N000,A2,-,1,-,-,-
"Astra Honda Motor, PT",19150-K2S -N000,A3,-,1,-,-,-
"Astra Honda Motor, PT",5320AK1A N101INB0,A4,-,1,-,-,-
"Astra Honda Motor, PT",6430A-K1A -N800-DL,A5,-,1,-,-,-
"Astra Honda Motor, PT",6433A-K1A -N800-DL,A6,-,1,-,-,-
"Astra Honda Motor, PT",81145-K1A -N800,A7,-,1,-,-,-
"Astra Honda Motor, PT",8114A-K1A -N800-DL,A8,-,1,-,-,-
"Astra Honda Motor, PT",81255-K1A -N800,A9,-,1,-,-,-
"Astra Honda Motor, PT",83650-K1A -N801-00-1V,A10,-,1,-,-,-
"Astra Honda Motor, PT",1757A-K1A -N800-DL-02,A11,-,1,-,-,-
"Astra Honda Motor, PT",8132A-K0W -H001-DL,A12,-,1,-,-,-
"Astra Honda Motor, PT",19150-K1Z -NA01,A13,-,1,-,-,-
"Astra Honda Motor, PT",19150-K1N -V002,A14,-,1,-,-,-
"Astra Honda Motor, PT",64303-K3V -N000,A15,-,1,-,-,-
"Astra Honda Motor, PT",6432A-K2S -N000-DL,A16,-,1,-,-,-
"Astra Honda Motor, PT",6442A-K2S -N000-DL,A17,-,1,-,-,-
"Astra Honda Motor, PT",81136-K2S -N001,A18,-,1,-,-,-
"Astra Honda Motor, PT",8113A-K2F -ND00-DL,A19,-,1,-,-,-
"Astra Honda Motor, PT",8113B-K2F -NC00-DL,A20,-,1,-,-,-
"Astra Honda Motor, PT",81145-K0J -N602,A21,-,1,-,-,-
"Astra Honda Motor, PT",8114B-K0J -N600-DL,A22,-,1,-,-,-
"Astra Honda Motor, PT",1757A-K2F -NC00-DL,A23,-,1,-,-,-
"Astra Honda Motor, PT",1757BK2S N000DL02,A24,-,1,-,-,-
"Astra Honda Motor, PT",6432A-K2F -NC00-DL,A25,-,1,-,-,-
"Astra Honda Motor, PT",6433A-K0J -N004-IN,A26,-,1,-,-,-
"Astra Honda Motor, PT",64340-K2F -NC00,A27,-,1,-,-,-
"Astra Honda Motor, PT",81145-K59 -A700,A28,-,1,-,-,-
"Astra Honda Motor, PT",64320-K2V -N301,A29,-,1,-,-,-
"Astra Honda Motor, PT",64420-K2V -N301,A30,-,1,-,-,-
"Astra Honda Motor, PT",8114B-K2V -N302-DL,A31,-,1,-,-,-
"Astra Honda Motor, PT",17575-K59 -A700,A32,-,1,-,-,-
"Astra Honda Motor, PT",5320C-K2V -N300-DL,A33,-,1,-,-,-
"Astra Honda Motor, PT",17575-K1A -N800,A34,-,1,-,-,-
"Astra Honda Motor, PT",1757A-K2S -M100-DL,A35,-,1,-,-,-
"Astra Honda Motor, PT",64302-K1A -C300,A36,-,1,-,-,-
"Astra Honda Motor, PT",64320-K1A -N800,A37,-,1,-,-,-
"Astra Honda Motor, PT",64331-K3N -N001,A38,-,1,-,-,-
"Astra Honda Motor, PT",80102-K3N -N000,A39,-,1,-,-,-
"Astra Honda Motor, PT",1757A-K2V -N300-DL,A40,-,1,-,-,-
"Astra Honda Motor, PT",50340-K64 -NA00,A41,-,1,-,-,-
"Astra Honda Motor, PT",6426C-K64 -NP00-DL,A42,-,1,-,-,-
"Astra Honda Motor, PT",1752A-K1Z -N000-IN,A43,-,1,-,-,-
"Astra Honda Motor, PT",64315-K1Y -DC01,A44,-,1,-,-,-
"Astra Honda Motor, PT",64316-K1Y -DC01,A45,-,1,-,-,-
"Astra Honda Motor, PT",64325-K1Y -DC01,A46,-,1,-,-,-
"Astra Honda Motor, PT",64326-K1Y -DC01,A47,-,1,-,-,-
"Astra Honda Motor, PT",6433A-K1Z -NA01-DL,A48,-,1,-,-,-
"Astra Honda Motor, PT",8011AK1Z NA00DL1V,A49,-,1,-,-,-
"Astra Honda Motor, PT",8132A-K1Z -NA00-DL,A50,-,1,-,-,-
"Astra Honda Motor, PT",64521-K1Y -DC00,A51,-,1,-,-,-
"Astra Honda Motor, PT",1757A-K1A -M300-DL,A52,-,1,-,-,-
"Astra Honda Motor, PT",64224-K64 -NP00,A53,-,1,-,-,-
"Astra Honda Motor, PT",64225-K64 -NP00,A54,-,1,-,-,-
"Astra Honda Motor, PT",81141-K1A -N800,A55,-,1,-,-,-
"Astra Honda Motor, PT",8113A-K2F -NC00-DL,A56,-,1,-,-,-
"Astra Honda Motor, PT",53206-GJR -N001,A57,-,1,-,-,-
"Astra Honda Motor, PT",64220-K03 -N300,A58,-,1,-,-,-
"Astra Honda Motor, PT",6431A-GJR -N001-DL,A59,-,1,-,-,-
"Astra Honda Motor, PT",64370-GJR -N001,A60,-,1,-,-,-
"Astra Honda Motor, PT",64380-GJR -N001,A61,-,1,-,-,-
"Astra Honda Motor, PT",81131-GJR -N001,A62,-,1,-,-,-
"Astra Honda Motor, PT",83750-GJR -N001,A63,-,1,-,-,-
"Astra Honda Motor, PT",64350-K41 -N000,A64,-,1,-,-,-
Inoac Polytechno Indonesia,76111-80K00,A65,-,1,-,-,-
Inoac Polytechno Indonesia,76161-80K00,A66,-,1,-,-,-
Inoac Polytechno Indonesia,76110-60K00,A67,-,1,-,-,-
Inoac Polytechno Indonesia,76160-60K00,A68,-,1,-,-,-
Inoac Polytechno Indonesia,76221-60K10,A69,-,1,-,-,-
Inoac Polytechno Indonesia,76271-60K10,A70,-,1,-,-,-
Inoac Polytechno Indonesia,76220-60K10,A71,-,1,-,-,-
Inoac Polytechno Indonesia,76270-60K10,A72,-,1,-,-,-
Inoac Polytechno Indonesia,76230-60K00-6GS,A73,-,1,-,-,-
Inoac Polytechno Indonesia,76280-60K00-6GS,A74,-,1,-,-,-
Inoac Polytechno Indonesia,76230-60K10-6GS,A75,-,1,-,-,-
Inoac Polytechno Indonesia,76280-60K10-6GS,A76,-,1,-,-,-
Inoac Polytechno Indonesia,A-DHD36-PK003.1,A77,-,1,-,-,-
Inoac Polytechno Indonesia,A-DHD36-PK004.1,A78,-,1,-,-,-
Inoac Polytechno Indonesia,A-DHD36-PK005.1,A79,-,1,-,-,-
Inoac Polytechno Indonesia,A-DHD36-PK006.1,A80,-,1,-,-,-
Inoac Polytechno Indonesia,A-DHD66-PK003.0,A81,-,1,-,-,-
Inoac Polytechno Indonesia,A-DHD66-PK004.0,A82,-,1,-,-,-
Inoac Polytechno Indonesia,A-DHD66-PK006.0,A83,-,1,-,-,-
Inoac Polytechno Indonesia,A-DHD66-PK007.0,A84,-,1,-,-,-
Inoac Polytechno Indonesia,62415-0K010,A85,-,1,-,-,-
Inoac Polytechno Indonesia,62416-0K010,A86,-,1,-,-,-
Inoac Polytechno Indonesia,62411-0K090,A87,-,1,-,-,-
Inoac Polytechno Indonesia,62412-0K090,A88,-,1,-,-,-
Inoac Polytechno Indonesia,67937-0K010,A89,-,1,-,-,-
Inoac Polytechno Indonesia,67938-0K010,A90,-,1,-,-,-
Inoac Polytechno Indonesia,67937-0K010-A,A91,-,1,-,-,-
Inoac Polytechno Indonesia,67938-0K010-A,A92,-,1,-,-,-
Inoac Polytechno Indonesia,74211-BZ010-H,A93,-,1,-,-,-
Inoac Polytechno Indonesia,74212-BZ010-H,A94,-,1,-,-,-
Inoac Polytechno Indonesia,74213-BZ010-H,A95,-,1,-,-,-
Inoac Polytechno Indonesia,74214-BZ010-H,A96,-,1,-,-,-
Inoac Polytechno Indonesia,74293-BZ020-H,A97,-,1,-,-,-
