NOMORT PART,NAMA PART,TIPE PART,CUSTOMER,MODEL PART,PROSES,STATUS,QTY PACKING BOX
1141A-K1Z -N200-DL,"COVER ASSY,ENG TOP",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
19120-K2S -N000,"BASE ASSY,RADIATOR",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,25
19150-K2S -N000,"COVER COMP,RADIATOR",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,25
5320AK1A N101INB0,"COVER,HANDLE RR SET MBNH-1",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
6430A-K1A -N800-DL,"COVER,FR TOP ASSY",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,100
6433A-K1A -N800-DL,"BOX ASSY,BATTERY",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,20
81145-K1A -N800,"LID ASSY,INNER POCKET",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,10
8114A-K1A -N800-DL,"COVER,INNER LOWER SET",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,10
81255-K1A -N800,"COVER,LUGGAGE BOX",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
83650-K1A -N801-00-1V,"SET ILLUS,RR CENTER COVER TYPE 1",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,100
1757A-K1A -N800-DL-02,"COVER ASSY,FUEL TANK TYPE 2",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
8132A-K0W -H001-DL,"BOX,BATTERY ASSY",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,25
19150-K1Z -NA01,"COVER COMP,RADIATOR",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,25
19150-K1N -V002,"COVER COMP,RADIATOR",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,25
64303-K3V -N000,"GARNISH,FR",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,25
6432A-K2S -N000-DL,"GARNISH,R FR",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
6442A-K2S -N000-DL,"GARNISH,L FR",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
81136-K2S -N001,"BOX INNER, UPPER",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
8113A-K2F -ND00-DL,"POCKET, R INNER ASSY",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,20
8113B-K2F -NC00-DL,"POCKET, L INNER ASSY",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,20
81145-K0J -N602,"LID ASSY,INNER POCKET",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,10
8114B-K0J -N600-DL,COVER INNER ASSY,-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,10
1757A-K2F -NC00-DL,"COVER ASSY,FUEL TANK",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
1757BK2S N000DL02,"COVER, FUEL TANK ASSY SET TYPE 2",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
6432A-K2F -NC00-DL,BOX BATTERY ASSY,-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,25
6433A-K0J -N004-IN,"BOX ASSY,BATTERY",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,20
64340-K2F -NC00,"COVER,UNDER",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,10
81145-K59 -A700,"LID,SMART EMERGENCY",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,100
64320-K2V -N301,"GARNISH,R FR",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,100
64420-K2V -N301,"GARNISH,L FR",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,100
8114B-K2V -N302-DL,COVER INNER LOWER ASSY,-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,20
17575-K59 -A700,"COVER, FUEL TANK",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
5320C-K2V -N300-DL,COVER HANDLE RR ASSY,-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,25
17575-K1A -N800,"COVER,FUEL TANK",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
1757A-K2S -M100-DL,"COVER, FUEL TANK ASSY",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
64302-K1A -C300,"COVER,FR TOP",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,100
64320-K1A -N800,"BOX COMP,BATTERY",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,20
64331-K3N -N001,"COVER,UNDER",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,10
80102-K3N -N000,"COVER,RR CENTER LOWER",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,10
1757A-K2V -N300-DL,"COVER, FUEL TANK ASSY TYPE 2",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
50340-K64 -NA00,BOX D,-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,20
6426C-K64 -NP00-DL,PANEL METER ASSY,-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,20
1752A-K1Z -N000-IN,"TRAY,FUEL ASSY",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
64315-K1Y -DC01,"MAT R,FR FLOOR",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
64316-K1Y -DC01,"MAT L,FR FLOOR",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
64325-K1Y -DC01,"MAT R,RR FLOOR",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,25
64326-K1Y -DC01,"MAT L,RR FLOOR",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,25
6433A-K1Z -NA01-DL,"PANEL,FR METER ASSY",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,25
8011AK1Z NA00DL1V,"COVER,RR CENTER, ASSY TYPE 1",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,20
8132A-K1Z -NA00-DL,"BOX,BATTERY ASSY",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,25
64521-K1Y -DC00,"COVER,FR LOWER",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,10
1757A-K1A -M300-DL,COVER ASSY FUEL TANK,-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
64224-K64 -NP00,"PANEL,METER",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,20
64225-K64 -NP00,"COVER,METER",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,20
81141-K1A -N800,"COVER,INNER LOWER",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,10
8113A-K2F -NC00-DL,"POCKET, R INNER ASSY",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,20
53206-GJR -N001,"COVER,HANDLE RR",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,10
64220-K03 -N300,"BRKT,FR TOP COVER",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,50
6431A-GJR -N001-DL,"CASE,BATTERY ASSY",-,"Astra Honda Motor, PT",Reguler,Inject,AKTIF,10
