MACHINE NUMBER,BRAND,TONAGE
MC 01,TOSHIBA,850 TON
MC 02,KAWAGUCHI,650 TON
MC 03,YIZUMI,650 TON
MC 04,YIZUMI,650 TON
MC 05,NIGATA,650 TON
MC 06,KAWAGUCHI,650 TON
MC 07,KAWAGUCHI,650 TON
MC 08,KAWAGUCHI,650 TON
MC 09 ,TOSHIBA,650 TON
MC 10 ,HAITIAN,700 TON
MC 11,JSW,650 TON
MC 12,TOSHIBA,1050 TON
MC 13,TOSHIBA,1050 TON
MC 14,JSW,450 TON
MC 15,JSW,450 TON
MC 16 ,NISSEI,290 TON
MC 17,JSW,350 TON
MC 18,JSW,350 TON
MC 19,TOSIBHA,450 TON
MC 20,JSW,450 TON
MC 21,TOSHIBA,450 TON
MC 22,KAWAGUCHI,450 TON
MC 23,TOSHIBA,450 TON
MC 24,NISSEI,350 TON
MC 25,JSW,450 TON
MC 26,TOSHIBA,450 TON
MC 27 ,YIZUMI,400 TON
MC 28,YIZUMI,260 TON
MC 29,TOP,260 TON
MC 30,YIZUMI,160 TON
MC 31,TOSIBHA,1300 TON
MC 32,TOSIBHA,450 TON
MC 33,JSW,350 TON
MC 34,YIZUMI,1100 TON
MC 35,YIZUMI,1101 TON
