BP Code,BP Name,Account Balance,Foreign Name,Alamat,No,TOP
10652,TIDAK DIPAKAI,0,TIDAK DIPAKAI,,218905041,30D
Bp. Herman P,,0,,,,30D
Bp. Hidayat,,0,,,,30D
C00001,"Alpha Automotive Indonesia, PT",0,PT Alpha Automotive Indonesia,KAWASAN INDUSTRI KOTA BUKIT INDAH BLOK A-II NO 24 DANGDEUR BUNGUR SARI PURWAKARTA,2648371408,30D
C00002,"Aneka Komkar Utama, PT","91,477,919.40",PT Aneka Komkar Utama,KP. LEDUG JL. GAJAH TUNGGAL NO 16 RT. 004/01 ALAM JAYA JATI UWUNG TANGGERANG,2159301420,30D
C00003,"Astra Honda Motor, PT","86,452,982,357.37",PT. Astra Honda Motor,jl. yos sudarso sunter I sunter jaya tanjung priok jakarta utara,216518080,30D
C00004,"Astra Juoku Indonesia, PT","6,354,701,515.20",PT Astra Juoku Indonesia,"KAWASAN INDUSTRI MITRA KARAWANG JL. MITRA TIMUR II BLOK D, 4,5,6,51,52,53 PARUNG MULYA KARAWANG",2678608064,30D
C00005,"Astra Komponen Indonesia, PT","79,683,903.00",PT Astra Komponen Indonesia,"JL. LANBAU RT. 005/.010 KARANGASEM BARAT,CITEUREUP KAB. BOGOR  16810",2187919119,30D
C00006,"Astra Otoparts Tbk, PT (AWP)",0,PT Astra Otoparts Tbk (AWP),"Jl.Pegangsaan Dua KM. 2,2 Pegangsaan Dua  Jakarta Utara 14250",251652703,30D
C00007,"Astra Otoparts Tbk, PT (NM)","91,741,500.00",PT Astra Otoparts Tbk (NM),"Jl.Pegangsaan Dua KM. 2,2 Pegangsaan Dua   Jakarta Utara 14250",214603272,30D
C00008,"Bangun Mulya Abadi, PT",0,PT Bangun Mulya Abadi,Jl.PANGKALAN RAYA KARADENAN CIBINONG BOGOR,8129654364,30D
C00009,"Banshu Electric Indonesia, PT","40,139,820.00",PT Banshu Electric Indonesia,"M GOLD TOWEROFFICE WING 18 TH FLOOR SUITE EFG,JALAN  KH NOER ALI PEKAYON JAYA BEKASI SELATAN",2188963777,30D
